iter	RMSE
0	0.1354049039
1	0.1351915691
2	0.1350026598
3	0.1348178482
4	0.1346169494
5	0.1344279572
6	0.1342263755
7	0.1340382324
8	0.133854195
9	0.1336656886
10	0.133478454
11	0.1332741133
12	0.1330966213
13	0.132931695
14	0.1328154417
15	0.1326146042
16	0.1324339741
17	0.1322902491
18	0.1321330555
19	0.131956779
20	0.1317573904
21	0.1315830951
22	0.131432706
23	0.1312913452
24	0.131108352
25	0.1309362014
26	0.1307739768
27	0.1306079037
28	0.1304577872
29	0.1302968825
30	0.1301460627
31	0.1299848591
32	0.1298150351
33	0.1296801289
34	0.1295280874
35	0.1293778751
36	0.1292224902
37	0.1290676085
38	0.1288831775
39	0.1287215276
40	0.1285590432
41	0.1283957237
42	0.1282521277
43	0.1280938458
44	0.1279494806
45	0.1278129483
46	0.1276590247
47	0.1275435758
48	0.1274176329
49	0.1273042332
50	0.12719489
51	0.1270653054
52	0.1269479175
53	0.1268426984
54	0.1267105018
55	0.1265847184
56	0.1264439358
57	0.1263200141
58	0.1261927202
59	0.1260649194
60	0.1259273964
61	0.1257723052
62	0.1256385215
63	0.125532033
64	0.1254147143
65	0.1252812065
66	0.125166358
67	0.1250595019
68	0.1249556734
69	0.1248504219
70	0.1247519895
71	0.1246161396
72	0.1245012448
73	0.1243833138
74	0.1242725573
75	0.1241421177
76	0.1240156492
77	0.1239305275
78	0.1238108989
79	0.1236947624
80	0.1235623106
81	0.1234311395
82	0.1233228967
83	0.1231946704
84	0.1230938765
85	0.1229890616
86	0.1228885756
87	0.122780517
88	0.1226540802
89	0.1225298285
90	0.1224246759
91	0.1222970255
92	0.1222022259
93	0.1220797103
94	0.1219564323
95	0.121839753
96	0.1217568946
97	0.1216427659
98	0.1215460824
99	0.1214701326
100	0.1213796164
101	0.1212848872
102	0.121194105
103	0.1210800475
104	0.1209704708
105	0.1208654422
106	0.1207776982
107	0.1206821719
108	0.1205734383
109	0.1204885994
110	0.1204002842
111	0.1203363662
112	0.1202553461
113	0.120175178
114	0.1200780579
115	0.1199907531
116	0.1199003499
117	0.1198264052
118	0.1197333432
119	0.1196534563
120	0.1195678684
121	0.1194976458
122	0.1193926571
123	0.1193179908
124	0.119228165
125	0.1191351051
126	0.119043953
127	0.1189547665
128	0.1188997948
129	0.118827231
130	0.1187162495
131	0.1186276606
132	0.1185510422
133	0.1184725377
134	0.1184032324
135	0.1183102417
136	0.1182496634
137	0.1181625021
138	0.1180856406
139	0.1180416135
140	0.1179363283
141	0.1178593463
142	0.1177788245
143	0.1176878401
144	0.1176102577
145	0.1175297323
146	0.1174713397
147	0.117403904
148	0.1173414022
149	0.1172785587
150	0.1172008512
151	0.1171317651
152	0.1170790665
153	0.1170235427
154	0.1169604685
155	0.1168910653
156	0.1168221669
157	0.1167639693
158	0.1167071235
159	0.1166450345
160	0.1166056466
161	0.1165513207
162	0.1164708145
163	0.1163986675
164	0.1163272625
165	0.1162431662
166	0.1161832064
167	0.116138342
168	0.1160785445
169	0.116031155
170	0.115968611
171	0.1159000811
172	0.1158320289
173	0.1157562659
174	0.1156817979
175	0.1156217171
176	0.1155542854
177	0.115508867
178	0.1154461173
179	0.1153837884
180	0.1153054329
181	0.115228685
182	0.115162937
183	0.1150888244
184	0.115031337
185	0.1149652603
186	0.114907269
187	0.1148418407
188	0.1147872258
189	0.1147378528
190	0.1146815679
191	0.1146397192
192	0.1146018363
193	0.1145366091
194	0.1144654596
195	0.1144142192
196	0.1143577585
197	0.1142970838
198	0.1142466711
199	0.1141950707
200	0.114125893
201	0.1140621434
202	0.1140199739
203	0.1139669173
204	0.1139194308
205	0.1138954266
206	0.1138592422
207	0.1138136351
208	0.1137729505
209	0.1137310219
210	0.1136901749
211	0.1136264932
212	0.1135614597
213	0.1135054161
214	0.113439953
215	0.1134035149
216	0.1133475705
217	0.1133075755
218	0.1132561675
219	0.1132236733
220	0.1131803567
221	0.1131225943
222	0.1130788638
223	0.1130395454
224	0.1129793082
225	0.1129310927
226	0.1128822822
227	0.1128217899
228	0.1127705835
229	0.1127275603
230	0.1126800483
231	0.1126404645
232	0.1125809483
233	0.1125236364
234	0.1124884779
235	0.1124457168
236	0.1123930478
237	0.1123531434
238	0.1122949363
239	0.1122494412
240	0.1122086138
241	0.1121546363
242	0.1121203414
243	0.1120533716
244	0.1120020624
245	0.1119604857
246	0.1119210882
247	0.1118783776
248	0.1118349615
249	0.111780499
250	0.1117336646
251	0.1116920985
252	0.1116294916
253	0.1115826432
254	0.1115345815
255	0.1114926075
256	0.111433698
257	0.1113866812
258	0.1113523138
259	0.1113055277
260	0.1112680153
261	0.1112357377
262	0.1111904646
263	0.111143914
264	0.1111065067
265	0.1110600525
266	0.1110126846
267	0.1109706238
268	0.1109353822
269	0.1108942888
270	0.1108623391
271	0.1108163482
272	0.1108058982
273	0.1107818011
274	0.1107222244
275	0.1106795737
276	0.1106359431
277	0.1106223251
278	0.1105922354
279	0.1105487149
280	0.1105182029
281	0.110490655
282	0.1104499779
283	0.1104060918
284	0.1103694241
285	0.110349919
286	0.1102971669
287	0.1102447917
288	0.1102121033
289	0.1101575965
290	0.1101315293
291	0.1100848939
292	0.1100498507
293	0.1100200055
294	0.1099980986
295	0.1099582506
