Public Food Key,Food Profile ID,Derivation,Food Name,Food Description,Sampling Details,Nitrogen Factor,Fat Factor,Specific Gravity,Analysed Portion,Unanalysed Portion,Classification,Classification Name
F002258,14723,Borrowed,"Cardamom seed, dried, ground","Ground spice commonly used in Indian cooking and drinks, in Middle Eastern cooking and in Scandinavian baking","The majority of nutrient data were borrowed from USDA SR28, 02006 - Spices, cardamom. Proximates (starch, total sugars), vitamins (alpha-tocopherol, beta-carotene, folate) and Se were borrowed from Indian Food Composition Tables 2017, G020 - Cardamom, green. Dry matter adjustment was applied to starch and sugar. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), I, caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F002963,14718,Borrowed,"Cinnamon, dried, ground","Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02010 - Spices, cinnamon, ground. Iodine was borrowed from NZ FOODfiles 2014, P29 - Spice, cinnamon, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F002970,14725,Borrowed,"Cloves, dried, ground","Dried and ground, unopened flower buds of Syzygium aromaticum, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02011 - Spices, cloves, ground. Iodine was borrowed from NZ FOODfiles 2014, P30 - Spice, cloves, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F003190,14727,Borrowed,"Coriander seed, dried, ground","Dried and ground fruit or seed of Coriandrum sativum, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02013 - Spices, coriander seed. Proximates (starch, total sugars) and vitamins (B6, alpha-tocopherol, beta-carotene) were borrowed from Indian FCDB 2011-13, G024 - Coriander seeds. Iodine was borrowed from NZ FOODfiles 2014, P32 - Seed, coriander. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F003327,14728,Borrowed,"Cumin (cummin) seed, dried, ground","Dried and ground fruit or seeds of Cuminum cymimum, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02014 - Spices, cumin seed. Iodine was borrowed from NZ FOODfiles 2014, P33 - Seed, cumin. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F003337,14720,Borrowed,Curry powder,"Dried and ground mixture of spices for use in the preparation of Indian-style meals. Typical ingredients include the spices cumin, coriander seed and turmeric.","The majority of nutrient data were borrowed from USDA SR28, 02015 Spices, curry powder. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F003821,11001,Borrowed,"Fenugreek seed, dried",Dried fenugreek seeds used as a spice.,"The majority of nutrient data were borrowed from USDA SR28, 02019 - Spices, fenugreek seed. Alpha-tocopherol, beta-carotene, proximates (starch, total sugars, fibre) and fatty acids were borrowed from Indian FCT G026 - Fenugreek seeds. Iodine was borrowed from NZ FOODfiles 2014, P37 - Seed, fenugreek. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F004210,14729,Borrowed,"Ginger, dried, ground","Dried and ground rhizome of Zingiber officinale, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02021 Spices, ginger ground. Iodine was borrowed from NZ FOODfiles 2014, P4 - Spice, ginger, dried, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",6.25,0.8,0,100%,0%,31302,Herbs(dried) and spices
F005972,11003,Analysed,Mustard powder,"Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods.","The majority of nutrient data were derived from a composite sample of 6 purchases (4x Keens, 2x McCormick) of mustard powder purchased in Adelaide in 1990. Folate, C, B6, alpha-tocopherol and tryptophan were borrowed from the USDA SR28, 02024 - Spices, mustard seed, ground. Fibre is estimated based on products available in 2012. Alcohol, vitamins (retinol, folic acid, B12, D), iodine, caffeine and cholesterol were imputed zero.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
F006118,11004,Borrowed,"Nutmeg, dried, ground","Dried and ground seed of Myristica fragrans (M. officinalis or M. aromatica), used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02025 - Spices, nutmeg, ground. Iodine was borrowed from NZ FOODfiles 2014, P42 - Spice, nutmeg, ground. Tryptophan was imputed from ground cinnamon. Alcohol, vitamins (retinol, folic acid, B12, D), caffeine and cholesterol were imputed zero.",6.25,0.96,0,100%,0%,31302,Herbs(dried) and spices
