is_cancelled,lead_time,country,company,children,adults,meal,reservation_status_date,booking_changes
0,342,PRT,,0.0,2,BB,2015-07-01,3
0,737,PRT,,0.0,2,BB,2015-07-01,4
0,7,GBR,,0.0,1,BB,2015-07-02,0
0,13,GBR,,0.0,1,BB,2015-07-02,0
0,14,GBR,,0.0,2,BB,2015-07-03,0
0,14,GBR,,0.0,2,BB,2015-07-03,0
0,0,PRT,,0.0,2,BB,2015-07-03,0
0,9,PRT,,0.0,2,FB,2015-07-03,0
1,85,PRT,,0.0,2,BB,2015-05-06,0
1,75,PRT,,0.0,2,HB,2015-04-22,0
1,23,PRT,,0.0,2,BB,2015-06-23,0
0,35,PRT,,0.0,2,HB,2015-07-05,0
0,68,USA,,0.0,2,BB,2015-07-05,0
0,18,ESP,,1.0,2,HB,2015-07-05,1
0,37,PRT,,0.0,2,BB,2015-07-05,0
0,68,IRL,,0.0,2,BB,2015-07-05,0
0,37,PRT,,0.0,2,BB,2015-07-05,0
0,12,IRL,,0.0,2,BB,2015-07-02,0
0,0,FRA,110.0,0.0,2,BB,2015-07-02,0
0,7,GBR,,0.0,2,BB,2015-07-05,0
0,37,GBR,,0.0,1,BB,2015-07-06,0
0,72,PRT,,0.0,2,BB,2015-07-07,1
0,72,PRT,,0.0,2,BB,2015-07-07,1
0,72,PRT,,0.0,2,BB,2015-07-07,1
0,127,GBR,,0.0,2,HB,2015-07-01,0
0,78,PRT,,0.0,2,BB,2015-07-08,0
0,48,IRL,,0.0,2,BB,2015-07-08,0
1,60,PRT,,0.0,2,BB,2015-05-11,0
0,77,PRT,,0.0,2,BB,2015-07-08,0
0,99,PRT,,0.0,2,BB,2015-07-08,0
0,118,,,0.0,1,BB,2015-07-15,2
0,95,GBR,,0.0,2,BB,2015-07-16,0
1,96,PRT,,0.0,2,BB,2015-05-29,0
0,69,IRL,,0.0,2,BB,2015-07-08,0
1,45,PRT,,0.0,3,BB,2015-05-19,0
1,40,PRT,,0.0,3,BB,2015-06-19,0
0,15,ESP,,0.0,2,BB,2015-07-06,0
0,36,PRT,,0.0,3,BB,2015-07-06,0
1,43,PRT,,0.0,3,BB,2015-05-23,0
0,70,ROU,,0.0,2,HB,2015-07-07,0
1,45,PRT,,0.0,2,BB,2015-05-18,0
0,45,IRL,,0.0,2,BB,2015-07-07,0
0,16,ESP,,0.0,2,BB,2015-07-07,0
0,70,ROU,,0.0,2,HB,2015-07-07,0
0,107,PRT,,0.0,2,BB,2015-07-09,0
1,47,PRT,,2.0,2,BB,2015-06-02,0
0,96,ESP,,0.0,2,BB,2015-07-09,0
0,113,NOR,,0.0,2,BB,2015-07-09,0
0,90,GBR,,0.0,2,HB,2015-07-09,1
0,50,IRL,,0.0,2,HB,2015-07-09,1
0,113,NOR,,0.0,2,BB,2015-07-09,0
0,93,IRL,,0.0,2,BB,2015-07-13,0
0,76,OMN,,0.0,2,BB,2015-07-16,0
0,3,ESP,,0.0,2,BB,2015-07-03,0
0,1,ARG,,0.0,2,BB,2015-07-03,0
0,1,ESP,,2.0,2,BB,2015-07-03,0
0,0,PRT,,0.0,2,BB,2015-07-03,0
0,0,PRT,,0.0,2,BB,2015-07-03,0
0,0,PRT,,0.0,2,BB,2015-07-03,0
0,14,USA,,0.0,2,BB,2015-07-04,0
0,10,PRT,,0.0,2,BB,2015-07-04,0
0,5,IRL,,0.0,2,BB,2015-07-04,0
0,17,ESP,,0.0,2,BB,2015-07-05,0
0,93,IRL,,0.0,2,BB,2015-07-05,0
1,3,PRT,,0.0,2,HB,2015-06-29,0
0,10,USA,,2.0,2,BB,2015-07-05,0
0,3,ESP,,0.0,2,BB,2015-07-05,0
0,51,POL,,0.0,2,BB,2015-07-05,0
1,71,PRT,,0.0,3,BB,2015-06-16,0
1,63,PRT,,0.0,2,BB,2015-06-18,0
1,62,PRT,,0.0,2,BB,2015-07-03,0
1,101,PRT,,0.0,2,BB,2015-06-12,0
0,2,PRT,,0.0,2,HB,2015-07-05,0
0,15,ESP,,0.0,2,BB,2015-07-05,0
1,51,PRT,,0.0,3,BB,2015-06-09,0
0,3,ESP,,0.0,2,BB,2015-07-06,0
1,48,PRT,,0.0,2,BB,2015-05-26,0
0,2,PRT,,0.0,1,BB,2015-07-07,0
0,72,DEU,,0.0,2,BB,2015-07-07,0
0,81,PRT,,0.0,3,BB,2015-07-11,0
0,99,FRA,,0.0,2,BB,2015-07-12,0
1,368,PRT,,0.0,2,BB,2015-05-19,0
0,364,GBR,,0.0,2,BB,2015-07-13,0
1,81,PRT,,0.0,2,HB,2015-06-09,2
0,99,GBR,,0.0,2,HB,2015-07-13,0
0,324,GBR,,0.0,2,HB,2015-07-17,0
0,69,GBR,,0.0,2,BB,2015-07-17,1
1,79,PRT,,1.0,2,BB,2015-04-15,0
0,12,GBR,,0.0,2,BB,2015-07-04,0
0,9,PRT,,0.0,2,BB,2015-07-04,0
0,1,ESP,,0.0,2,BB,2015-07-04,0
0,21,PRT,,0.0,2,BB,2015-07-04,0
0,9,USA,,0.0,2,BB,2015-07-04,0
0,109,BEL,,0.0,2,BB,2015-07-04,0
1,109,PRT,,0.0,2,BB,2015-05-26,0
1,72,PRT,,0.0,2,BB,2015-06-29,0
1,63,PRT,,0.0,2,BB,2015-05-13,0
0,63,ESP,,0.0,3,HB,2015-07-10,0
0,101,PRT,,1.0,2,BB,2015-07-10,0
0,102,DEU,,0.0,2,BB,2015-07-10,0
0,4,ESP,,0.0,2,BB,2015-07-07,0
0,98,FRA,,0.0,2,BB,2015-07-07,0
0,92,FRA,,2.0,1,BB,2015-07-10,0
0,95,PRT,,0.0,2,BB,2015-07-10,0
0,102,PRT,,0.0,2,BB,2015-07-11,0
1,26,PRT,,2.0,2,BB,2015-06-09,0
1,73,PRT,,0.0,3,HB,2015-05-20,0
1,102,PRT,,0.0,2,BB,2015-04-22,0
0,115,PRT,,0.0,2,BB,2015-07-11,0
0,102,PRT,,0.0,2,BB,2015-07-11,0
0,86,CHE,,0.0,2,BB,2015-07-11,0
0,78,PRT,,0.0,2,HB,2015-07-11,0
0,52,GBR,,0.0,2,BB,2015-07-11,0
0,29,PRT,,0.0,3,BB,2015-07-12,0
1,101,PRT,,0.0,2,BB,2015-05-12,0
0,109,PRT,,0.0,2,BB,2015-07-12,0
0,92,GBR,,0.0,2,BB,2015-07-14,0
0,92,PRT,,0.0,2,BB,2015-07-14,0
0,79,PRT,,1.0,2,HB,2015-07-14,1
0,2,PRT,,2.0,2,BB,2015-07-05,1
0,30,PRT,,0.0,2,BB,2015-07-05,0
1,51,PRT,,0.0,1,HB,2015-05-29,0
1,36,PRT,,0.0,1,BB,2015-07-04,1
1,73,PRT,,0.0,2,BB,2015-05-13,0
1,33,PRT,,0.0,2,BB,2015-06-16,0
0,32,PRT,,0.0,4,FB,2015-07-05,2
0,8,ESP,,0.0,2,BB,2015-07-05,0
0,100,FRA,,0.0,2,BB,2015-07-06,0
0,1,PRT,,0.0,2,BB,2015-07-06,0
0,100,FRA,,0.0,2,BB,2015-07-06,0
0,100,FRA,,0.0,2,BB,2015-07-06,0
0,9,ESP,,0.0,2,BB,2015-07-06,0
