iter	RMSE
0	1.002038828
1	0.9894575753
2	0.976888232
3	0.9644798179
4	0.9522333149
5	0.9402633403
6	0.928528536
7	0.9170015742
8	0.9056589508
9	0.8943111253
10	0.8831415637
11	0.8723575813
12	0.8614643063
13	0.8507523077
14	0.840032943
15	0.8295654024
16	0.8193194643
17	0.8091037398
18	0.7990793501
19	0.7891981511
20	0.7795073986
21	0.7699394425
22	0.760434779
23	0.7510460776
24	0.741743615
25	0.7326196739
26	0.7235834729
27	0.7147405883
28	0.7060529226
29	0.6974755972
30	0.6889681791
31	0.6806402037
32	0.67240513
33	0.6643610996
34	0.6561983315
35	0.648398539
36	0.6406480326
37	0.6328696825
38	0.6252996642
39	0.6177535799
40	0.6103919305
41	0.6031486282
42	0.5960506123
43	0.5889875289
44	0.5820337772
45	0.5750790161
46	0.5682008859
47	0.5615559866
48	0.5548310854
49	0.5482368226
50	0.5417323032
51	0.5354982569
52	0.5293359903
53	0.5232722458
54	0.5171843368
55	0.5113120399
56	0.5055235232
57	0.4996485437
58	0.4940119499
59	0.4882037988
60	0.4824995756
61	0.477074771
62	0.4716176902
63	0.4663336247
64	0.461054392
65	0.4558169512
66	0.4505234778
67	0.4454222139
68	0.4404911392
69	0.4355690542
70	0.430740288
71	0.4261129604
72	0.4212570251
73	0.4166445206
74	0.4121063158
75	0.4075237193
76	0.4032160474
77	0.3988242059
78	0.394397946
79	0.3900712745
80	0.3859095011
81	0.3817453014
82	0.3776922599
83	0.3735891411
84	0.3695972373
85	0.3657215666
86	0.3618237413
87	0.3579152512
88	0.3543095071
89	0.3506276691
90	0.3469851358
91	0.3435090946
92	0.3399391251
93	0.3363612028
94	0.3330170145
95	0.329682108
96	0.3262580878
97	0.3229885123
98	0.3196967344
99	0.3165464437
100	0.3135291697
101	0.3104615011
102	0.3075213845
103	0.3044350748
104	0.3014356275
105	0.2985195996
106	0.2955271813
107	0.2926366775
108	0.2898688181
109	0.28716732
110	0.2844979976
111	0.2819093321
112	0.2792864891
113	0.2767372167
114	0.2742057058
115	0.2717574912
116	0.2693183136
117	0.2667566074
118	0.2643093132
119	0.2619299556
120	0.2596261478
121	0.2574150909
122	0.2550973014
123	0.2529705655
124	0.250840789
125	0.2487507842
126	0.2466836702
127	0.2446789555
128	0.2426627577
129	0.2406881847
130	0.2387218498
131	0.2368272908
132	0.2349108474
133	0.2331032906
134	0.2312567909
135	0.2294548544
136	0.227686847
137	0.2258127092
138	0.22415947
139	0.2225302647
140	0.2207590764
141	0.2190951339
142	0.2175145431
143	0.2159124939
144	0.2142660045
145	0.2125848608
146	0.2110738389
147	0.2095994258
148	0.2081299991
149	0.2067059241
150	0.2053113554
151	0.2039989407
152	0.2025109367
153	0.2011860565
154	0.1998708368
155	0.1985288875
156	0.1972082855
157	0.1958608154
158	0.1945491648
159	0.1933049849
160	0.1919496854
161	0.1907791296
162	0.1895209326
163	0.1883431943
164	0.1872362204
165	0.1861374963
166	0.1850298417
167	0.1839890156
168	0.1829637269
169	0.1818940206
170	0.1808900461
171	0.1798955985
172	0.1788044552
173	0.1778625693
174	0.1768424376
175	0.1759223835
176	0.1750263072
177	0.1740382205
178	0.1730708598
179	0.1722076866
180	0.1714037927
181	0.170590979
182	0.1697690322
183	0.1689804574
184	0.1682034317
185	0.1673161211
186	0.1665828441
187	0.1658548776
188	0.1650127782
189	0.1642818157
190	0.1634893671
191	0.1627894122
192	0.1621261495
193	0.1614148799
194	0.160698786
195	0.1599544388
196	0.1592346174
197	0.158592045
198	0.157918521
199	0.1571840265
200	0.1566155594
201	0.1560395009
202	0.1554259645
203	0.1548586588
204	0.1541972721
205	0.1536269661
206	0.1530229996
207	0.152477783
208	0.1519707892
209	0.1514567005
210	0.1509033558
211	0.1503987387
212	0.1498822686
213	0.149379666
214	0.1488394393
215	0.1483043129
216	0.1477740426
217	0.1472967967
218	0.1468141342
219	0.1462813785
220	0.1457977845
221	0.1453825168
222	0.144967967
223	0.1445700247
224	0.1441886051
225	0.1437933213
226	0.1433758568
227	0.14297857
228	0.1425989539
229	0.1422436307
230	0.1418968701
231	0.1415375284
232	0.141193929
233	0.1408558348
234	0.140525445
235	0.1401375806
236	0.1398253111
237	0.1395054843
238	0.139181563
239	0.1388605612
240	0.1385688809
241	0.1382723749
242	0.1379057749
243	0.1375464376
244	0.137251696
245	0.136966598
246	0.136654132
247	0.1363856605
248	0.1360765922
249	0.1357597209
250	0.1354503039
251	0.1351984202
252	0.134907567
253	0.1346707456
254	0.134440307
255	0.1341968522
256	0.1339772038
257	0.1337535391
258	0.1335334638
259	0.1332880568
260	0.1330755205
261	0.1328367545
262	0.1325735535
263	0.1323694893
264	0.1321716662
265	0.1319201731
266	0.1316924287
267	0.1314581152
268	0.1312775072
269	0.1310612892
270	0.130868323
271	0.1306836091
272	0.130475953
273	0.1302539521
274	0.130080378
275	0.129906382
276	0.129739324
277	0.1295745425
278	0.1293667167
