iter	Passed	Remaining
0	74	740264
1	79	397210
2	86	287938
3	91	229204
4	95	191262
5	99	165203
6	106	151719
7	110	138475
8	115	128326
9	122	122085
10	126	114807
11	129	107529
12	133	102216
13	139	99313
14	143	95566
15	147	92020
16	152	89663
17	156	87063
18	161	84609
19	169	84392
20	174	82797
21	179	81544
22	186	80958
23	191	79674
24	197	78826
25	204	78478
26	208	76995
27	213	75938
28	219	75394
29	228	75878
30	233	75209
31	240	74805
32	245	74169
33	251	73734
34	257	73265
35	261	72499
36	272	73455
37	276	72613
38	283	72297
39	288	71777
40	293	71296
41	300	71135
42	304	70476
43	308	69812
44	315	69694
45	318	69026
46	322	68379
47	326	67748
48	332	67571
49	337	67141
50	344	67109
51	349	66918
52	355	66709
53	358	66110
54	364	65820
55	369	65525
56	373	65201
57	379	65058
58	384	64787
59	389	64556
60	397	64724
61	403	64654
62	409	64546
63	418	64930
64	423	64759
65	429	64630
66	434	64462
67	439	64229
68	445	64116
69	450	63920
70	455	63742
71	461	63589
72	466	63485
73	472	63356
74	478	63295
75	483	63134
76	490	63154
77	495	63063
78	500	62850
79	505	62708
80	510	62496
81	515	62358
82	520	62209
83	525	62069
84	530	61892
85	535	61747
86	541	61681
87	546	61558
88	552	61533
89	558	61451
90	563	61326
91	568	61270
92	574	61213
93	580	61169
94	585	61040
95	591	61008
96	596	60896
97	602	60827
98	606	60612
99	612	60617
100	617	60565
101	623	60495
102	629	60447
103	655	62355
104	659	62154
105	664	62024
106	670	61969
107	675	61851
108	679	61674
109	687	61819
110	691	61616
111	697	61545
112	702	61499
113	709	61563
114	713	61347
115	719	61315
116	725	61259
117	730	61185
118	736	61152
119	741	61035
120	747	60993
121	751	60877
122	758	60920
123	771	61438
124	777	61426
125	787	61733
126	792	61635
127	798	61561
128	803	61509
129	808	61418
130	815	61415
131	820	61322
132	825	61276
133	831	61198
134	835	61063
135	840	60950
136	845	60882
137	851	60820
138	856	60740
139	863	60804
140	868	60718
141	873	60653
142	884	60988
143	889	60909
144	895	60895
145	927	62629
146	934	62655
147	944	62893
148	949	62774
149	953	62623
150	959	62599
151	964	62484
152	969	62419
153	975	62338
154	980	62265
155	985	62211
156	991	62168
157	996	62055
158	1001	61964
159	1006	61899
160	1013	61919
161	1018	61856
162	1024	61828
163	1029	61753
164	1035	61705
165	1041	61710
166	1047	61662
167	1052	61605
168	1059	61608
169	1071	61931
