,carat,cut,color,clarity,depth,table,x,y,z,grp_clarity,grp_color,grp_cut,log_carat,log_carat_menor_2,log_carat_maior_2,dist_carat,grade,IFDIdeal,SI1DPremium,SI1HIdeal,SI2FIdeal,SI2FPremium,SI2GGood,SI2GIdeal,SI2GPremium,SI2GVery Good,VS2DIdeal,VS2DPremium,VS2GIdeal,VS2IIdeal,VVS1DIdeal,VVS1EIdeal,VVS2DIdeal,color_D,clarity_SI2,grp_cla_I,grp_cla_IF,grp_cla_SI,grp_cla_VS,grp_cla_VVS,grp_col_Colorless,grp_col_Near Colorless,grp_col_Tinted,grp_cut_Fair,grp_cut_Good,grp_cut_Ideal,grp_cut_Very Good/Premium,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,SI,Near Colorless,Very Good/Premium,-0.09431067947124129,-0.09431067947124129,0.0,-0.08999999999999997,SI2HVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,3271.727632911314
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,VS,Colorless,Good,-0.9675840262617056,-0.9675840262617056,0.0,-0.62,VS2FGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,813.9137911707815
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,VS,Near Colorless,Ideal,-0.6539264674066639,-0.6539264674066639,0.0,-0.48,VS2HIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1525.8694609930235
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,VS,Colorless,Ideal,0.09531017980432493,0.09531017980432493,0.0,-0.8999999999999999,VS1GIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,7781.256797071141
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,SI,Colorless,Ideal,0.8241754429663494,0.0,0.8241754429663494,-0.7200000000000002,SI2GIdeal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,16118.97625056794
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,VS,Tinted,Very Good/Premium,0.6981347220709843,0.0,0.6981347220709843,-0.9900000000000002,VS2JVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,13298.12092082273
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,SI,Colorless,Ideal,0.058268908123975824,0.058268908123975824,0.0,-0.94,SI2GIdeal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,4444.082186803653
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,SI,Colorless,Very Good/Premium,-0.35667494393873245,-0.35667494393873245,0.0,-0.30000000000000004,SI1EPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2380.256423950208
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,VS,Near Colorless,Very Good/Premium,-0.31471074483970024,-0.31471074483970024,0.0,-0.27,VS2IPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2423.06623303381
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,IF,Near Colorless,Ideal,-0.31471074483970024,-0.31471074483970024,0.0,-0.27,IFHIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3284.369913491866
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,VS,Colorless,Good,0.0,0.0,0.0,-1.0,VS2DGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,6505.089493464779
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,VVS,Colorless,Ideal,-1.1086626245216111,-1.1086626245216111,0.0,-0.6699999999999999,VVS2GIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,893.1838786889281
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,VVS,Tinted,Ideal,-0.616186139423817,-0.616186139423817,0.0,-0.45999999999999996,VVS2JIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1232.0842149127375
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,VS,Colorless,Ideal,-1.1086626245216111,-1.1086626245216111,0.0,-0.6699999999999999,VS2DIdeal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,865.5223781061133
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,VS,Colorless,Fair,-0.6733445532637656,-0.6733445532637656,0.0,-0.49,VS2DFair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1430.9999999999995
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,SI,Colorless,Ideal,-0.6733445532637656,-0.6733445532637656,0.0,-0.49,SI1EIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1431.2281800268656
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,SI,Near Colorless,Good,-1.2039728043259361,-1.2039728043259361,0.0,-0.7,SI1IGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,447.9484702354687
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,SI,Near Colorless,Good,0.9783261227936078,0.0,0.9783261227936078,-0.33999999999999986,SI2HGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,15581.605274974841
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,SI,Colorless,Very Good/Premium,-0.08338160893905101,-0.08338160893905101,0.0,-0.07999999999999996,SI1FPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4128.426526725525
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,IF,Colorless,Ideal,-1.2039728043259361,-1.2039728043259361,0.0,-0.7,IFGIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,892.9025967692127
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,SI,Near Colorless,Very Good/Premium,0.0,0.0,0.0,-1.0,SI1HVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4431.654704021639
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,VS,Colorless,Very Good/Premium,-1.0788096613719298,-1.0788096613719298,0.0,-0.6599999999999999,VS1FVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,740.531024747114
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,SI,Colorless,Very Good/Premium,0.009950330853168092,0.009950330853168092,0.0,-0.99,SI2FVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,4341.725605990816
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,VS,Colorless,Ideal,-0.13926206733350766,-0.13926206733350766,0.0,-0.13,VS1FIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4251.313656618967
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,SI,Colorless,Very Good/Premium,0.23111172096338664,0.23111172096338664,0.0,-0.74,SI2DPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,5646.640172741121
