,carat,cut,color,clarity,depth,table,x,y,z,grp_clarity,grp_color,grp_cut,log_carat,log_carat_menor_2,log_carat_maior_2,dist_carat,grade,IFDIdeal,SI1DPremium,SI1HIdeal,SI2FIdeal,SI2FPremium,SI2GGood,SI2GIdeal,SI2GPremium,SI2GVery Good,VS2DIdeal,VS2DPremium,VS2GIdeal,VS2IIdeal,VVS1DIdeal,VVS1EIdeal,VVS2DIdeal,color_D,clarity_SI2,grp_cla_I,grp_cla_IF,grp_cla_SI,grp_cla_VS,grp_cla_VVS,grp_col_Colorless,grp_col_Near Colorless,grp_col_Tinted,grp_cut_Fair,grp_cut_Good,grp_cut_Ideal,grp_cut_Very Good/Premium,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,SI,Near Colorless,Very Good/Premium,-0.09431067947124129,-0.09431067947124129,0.0,-0.08999999999999997,SI2HVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2736.6136254990515
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,VS,Colorless,Good,-0.9675840262617056,-0.9675840262617056,0.0,-0.62,VS2FGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,892.5522627981404
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,VS,Near Colorless,Ideal,-0.6539264674066639,-0.6539264674066639,0.0,-0.48,VS2HIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1414.4833660349943
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,VS,Colorless,Ideal,0.09531017980432493,0.09531017980432493,0.0,-0.8999999999999999,VS1GIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,7389.624954015495
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,SI,Colorless,Ideal,0.8241754429663494,0.0,0.8241754429663494,-0.7200000000000002,SI2GIdeal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,17121.265249959863
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,VS,Tinted,Very Good/Premium,0.6981347220709843,0.0,0.6981347220709843,-0.9900000000000002,VS2JVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,13746.154363262029
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,SI,Colorless,Ideal,0.058268908123975824,0.058268908123975824,0.0,-0.94,SI2GIdeal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,4605.470363403
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,SI,Colorless,Very Good/Premium,-0.35667494393873245,-0.35667494393873245,0.0,-0.30000000000000004,SI1EPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2383.268173564624
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,VS,Near Colorless,Very Good/Premium,-0.31471074483970024,-0.31471074483970024,0.0,-0.27,VS2IPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2524.2907308536787
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,IF,Near Colorless,Ideal,-0.31471074483970024,-0.31471074483970024,0.0,-0.27,IFHIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3550.5718605995903
